date,justification,ai_recommendation,final_weights
2022-02-28,"I selected ETFs with the highest breakout_quality_score and positive momentum, as these factors indicate strong upward potential. VTIP.O and CBON.P have the highest breakout_quality_score and positive momentum, while ICVT.B and CWB.P show strong breakout signals despite negative momentum, suggesting recovery potential. FLOT.B is included for its neutral momentum and high eric_tail_skew, adding diversification.","{'VTIP.O': 0.35, 'CBON.P': 0.25, 'ICVT.B': 0.15, 'CWB.P': 0.15, 'FLOT.B': 0.1}","{'VTIP.O': 0.35, 'CBON.P': 0.25, 'ICVT.B': 0.15, 'CWB.P': 0.15, 'FLOT.B': 0.1}"
2022-03-31,基于因子分析，CBON.P 和 VTIP.O 显示出最强的正向动量信号（momentum 分别为 0.033 和 0.012），且 smart_momentum_adx_r2 和 eric_tail_skew 也相对积极，表明短期上涨潜力较高；FLOT.B 和 SHV.O 的动量接近中性但略负，但 eric_tail_skew 较高，提供一定反转机会，因此分配较低权重以分散风险。,"{'CBON.P': 0.4, 'VTIP.O': 0.3, 'FLOT.B': 0.2, 'SHV.O': 0.1}","{'CBON.P': 0.4, 'VTIP.O': 0.3, 'FLOT.B': 0.2, 'SHV.O': 0.1}"
2022-04-29,基于因子分析，BIL.P 在 breakout_quality_score 和 eric_tail_skew 上表现突出，显示出强劲的突破潜力和低极端风险，而 FLOT.B 和 VTIP.O 在多个动量相关因子中相对较好，提供了稳定的收益机会。因此，选择这三支 ETF 并分配权重以最大化预期回报。,"{'BIL.P': 0.5, 'FLOT.B': 0.3, 'VTIP.O': 0.2}","{'BIL.P': 0.5, 'FLOT.B': 0.3, 'VTIP.O': 0.2}"
2022-05-31,"Selected ETFs with the highest positive momentum and breakout_quality_score, such as VTIP.O and BIL.P, which show strong short-term potential, while avoiding those with negative momentum and high volatility.","{'VTIP.O': 0.4, 'BIL.P': 0.35, 'SHV.O': 0.25}","{'VTIP.O': 0.4, 'BIL.P': 0.35, 'SHV.O': 0.25}"
2022-06-30,"I selected BIL.P due to its strong positive momentum (0.001), high breakout_quality_score (3.203), and positive smart_momentum_adx_r2 (0.001), indicating the best short-term upside potential among all ETFs. FLOT.B and SHV.O were chosen for their relatively higher momentum and smart_momentum_adx_r2 values, while SHY.O and CBON.P were included for their moderate positive factors, ensuring diversification with a focus on the strongest signals.","{'BIL.P': 0.4, 'FLOT.B': 0.2, 'SHV.O': 0.2, 'SHY.O': 0.1, 'CBON.P': 0.1}","{'BIL.P': 0.4, 'FLOT.B': 0.2, 'SHV.O': 0.2, 'SHY.O': 0.1, 'CBON.P': 0.1}"
2022-07-29,"I selected ETFs with the highest positive momentum and breakout_quality_score, as these factors indicate strong upward potential and quality trends. Specifically, VTIP.O and BIL.P have positive momentum and high breakout scores, while SHV.O and FLOT.B show strong breakout quality and stability, making them suitable for maximizing short-term PnL in a bond-focused portfolio.","{'VTIP.O': 0.3, 'BIL.P': 0.25, 'SHV.O': 0.25, 'FLOT.B': 0.2}","{'VTIP.O': 0.3, 'BIL.P': 0.25, 'SHV.O': 0.25, 'FLOT.B': 0.2}"
2022-08-31,基于因子分析，选择了 breakout_quality_score 和 smart_momentum_adx_r2 较高的 ETF，如 BIL.P、SHV.O、FLOT.B 和 VTIP.O，它们显示出较强的正向动量信号和稳定性，而 CWB.P 和 ICVT.B 也表现出一定的突破潜力，因此分配权重以最大化短期收益。,"{'BIL.P': 0.3, 'SHV.O': 0.25, 'FLOT.B': 0.2, 'VTIP.O': 0.15, 'CWB.P': 0.1}","{'BIL.P': 0.3, 'SHV.O': 0.25, 'FLOT.B': 0.2, 'VTIP.O': 0.15, 'CWB.P': 0.1}"
2022-09-30,"The portfolio is concentrated on BIL.P and SHV.O due to their strong positive momentum, high breakout_quality_score, and positive smart_momentum_adx_r2, indicating superior short-term growth potential in the bond ETF pool, while other ETFs show negative or weak signals across most factors.","{'BIL.P': 0.6, 'SHV.O': 0.4}","{'BIL.P': 0.6, 'SHV.O': 0.4}"
2022-10-31,"Selected ETFs with the highest breakout_quality_score and positive momentum to maximize short-term upside potential, focusing on SHV.O and BIL.P for their strong breakout signals and FLOT.B for its neutral momentum and moderate breakout score.","{'SHV.O': 0.4, 'BIL.P': 0.35, 'FLOT.B': 0.25}","{'SHV.O': 0.4, 'BIL.P': 0.35, 'FLOT.B': 0.25}"
2022-11-30,"I selected ETFs with the highest breakout_quality_score and positive momentum, as these factors indicate strong upward potential and trend quality. FLOT.B, SHV.O, and BIL.P have the highest breakout_quality_scores (9.043, 19.104, 16.078) and positive momentum values, suggesting they are the best candidates for maximizing short-term PnL. I allocated weights proportionally to their breakout_quality_scores to reflect confidence in their relative strengths.","{'FLOT.B': 0.2, 'SHV.O': 0.43, 'BIL.P': 0.37}","{'SHV.O': 0.43, 'BIL.P': 0.37, 'FLOT.B': 0.2}"
2022-12-30,基于因子分析，选择 FLOT.B、SHV.O 和 BIL.P，因为它们具有最高的 momentum、breakout_quality_score 和 smart_momentum_adx_r2 值，表明强劲的短期上涨潜力和稳定性，而 eric_tail_skew 的负值进一步支持反转信号。权重分配反映了 FLOT.B 和 SHV.O 的更强因子表现，而 BIL.P 作为补充。,"{'FLOT.B': 0.4, 'SHV.O': 0.35, 'BIL.P': 0.25}","{'FLOT.B': 0.4, 'SHV.O': 0.35, 'BIL.P': 0.25}"
2023-01-31,"I selected ETFs with the highest breakout_quality_score and positive momentum and smart_momentum_adx_r2 values, as these factors indicate strong upward potential and trend quality. SHV.O and BIL.P show exceptional breakout quality and positive momentum, while FLOT.B and ICVT.B also exhibit high scores and positive signals, making them top candidates for maximizing short-term PnL.","{'SHV.O': 0.35, 'BIL.P': 0.3, 'FLOT.B': 0.2, 'ICVT.B': 0.15}","{'SHV.O': 0.35, 'BIL.P': 0.3, 'FLOT.B': 0.2, 'ICVT.B': 0.15}"
2023-02-28,"I selected ETFs with the highest breakout_quality_score and positive momentum, as these factors indicate strong short-term upward potential. FLOT.B, SHV.O, and BIL.P have the highest breakout_quality_score values (12.887, 25.305, and 21.698 respectively) and positive momentum, making them the top choices for maximizing PnL. I allocated weights proportionally to their breakout_quality_score to reflect confidence in their performance.","{'FLOT.B': 0.22, 'SHV.O': 0.43, 'BIL.P': 0.35}","{'SHV.O': 0.43, 'BIL.P': 0.35, 'FLOT.B': 0.22}"
2023-03-31,"I selected ETFs with the highest breakout_quality_score and positive momentum, as these factors indicate strong upward potential and trend quality. SHV.O and BIL.P have the highest breakout_quality_score and positive momentum, while FLOT.B shows positive momentum and moderate scores, making them the top choices for maximizing short-term PnL.","{'SHV.O': 0.4, 'BIL.P': 0.35, 'FLOT.B': 0.25}","{'SHV.O': 0.4, 'BIL.P': 0.35, 'FLOT.B': 0.25}"
2023-04-28,基于因子分析，选择了 breakout_quality_score、smart_momentum_adx_r2 和 eric_adx_weighted_momentum 较高的 ETF，这些因子表明强劲的动量、趋势稳定性和突破潜力，以最大化短期收益。SHV.O 和 BIL.P 在多个因子中表现突出，权重最高，而 FLOT.B、JNK.P 和 HYG.P 提供补充的动量信号。,"{'SHV.O': 0.35, 'BIL.P': 0.3, 'FLOT.B': 0.15, 'JNK.P': 0.1, 'HYG.P': 0.1}","{'SHV.O': 0.35, 'BIL.P': 0.3, 'FLOT.B': 0.15, 'JNK.P': 0.1, 'HYG.P': 0.1}"
2023-05-31,"I selected ETFs with the highest breakout_quality_score and smart_momentum_adx_r2 values, as these factors indicate strong momentum and stability for short-term gains. SHV.O and BIL.P show exceptional breakout quality and smart momentum, while CWB.P and ICVT.B offer solid momentum and breakout signals, leading to a concentrated portfolio for maximum PnL.","{'SHV.O': 0.35, 'BIL.P': 0.35, 'CWB.P': 0.15, 'ICVT.B': 0.15}","{'SHV.O': 0.35, 'BIL.P': 0.35, 'CWB.P': 0.15, 'ICVT.B': 0.15}"
2023-06-30,"I selected ETFs with the highest combined factor scores, focusing on momentum, breakout_quality_score, and smart_momentum_adx_r2 for strong upward potential, while considering eric_tail_skew for risk management. SHV.O and BIL.P show exceptional breakout_quality_score and smart_momentum_adx_r2, CWB.P and ICVT.B have high momentum and eric_adx_weighted_momentum, and FLOT.B adds diversification with solid breakout_quality_score and positive smart_momentum_adx_r2.","{'SHV.O': 0.25, 'BIL.P': 0.25, 'CWB.P': 0.2, 'ICVT.B': 0.2, 'FLOT.B': 0.1}","{'SHV.O': 0.25, 'BIL.P': 0.25, 'CWB.P': 0.2, 'ICVT.B': 0.2, 'FLOT.B': 0.1}"
2023-07-31,"I selected ETFs with the highest combined scores in momentum, breakout_quality_score, eric_adx_weighted_momentum, and smart_momentum_adx_r2, which indicate strong upward potential and trend stability. ICVT.B and CWB.P show exceptional momentum and quality scores, while SHV.O and BIL.P have high breakout quality and positive skew, with FLOT.B adding diversification and solid performance.","{'ICVT.B': 0.35, 'CWB.P': 0.25, 'SHV.O': 0.15, 'BIL.P': 0.15, 'FLOT.B': 0.1}","{'ICVT.B': 0.35, 'CWB.P': 0.25, 'SHV.O': 0.15, 'BIL.P': 0.15, 'FLOT.B': 0.1}"
2023-08-31,"I selected ETFs with the highest momentum and breakout_quality_score, as these factors indicate strong upward price trends and quality of breakouts, which are key for maximizing short-term PnL. Specifically, JNK.P, HYG.P, and ANGL.O show high momentum values, while SHV.O and BIL.P have exceptional breakout_quality_scores, supporting their inclusion in the portfolio.","{'JNK.P': 0.25, 'HYG.P': 0.25, 'ANGL.O': 0.2, 'SHV.O': 0.15, 'BIL.P': 0.15}","{'JNK.P': 0.25, 'HYG.P': 0.25, 'ANGL.O': 0.2, 'SHV.O': 0.15, 'BIL.P': 0.15}"
2023-09-29,"The portfolio is constructed by selecting ETFs with the highest positive values across key momentum and quality factors, particularly breakout_quality_score and smart_momentum_adx_r2, which indicate strong upward potential and stability. SHV.O and BIL.P show the strongest signals with high breakout_quality_score and positive momentum, while FLOT.B and VTIP.O contribute with solid smart_momentum_adx_r2 and minimal negative skew, ensuring a diversified yet high-conviction allocation.","{'SHV.O': 0.35, 'BIL.P': 0.3, 'FLOT.B': 0.2, 'VTIP.O': 0.15}","{'SHV.O': 0.35, 'BIL.P': 0.3, 'FLOT.B': 0.2, 'VTIP.O': 0.15}"
2023-10-31,"I selected ETFs with the highest breakout_quality_score and positive momentum, as these factors indicate strong upward potential and quality trends. SHV.O, BIL.P, and FLOT.B have the highest scores, with SHV.O and BIL.P showing strong momentum and low tail skew, suggesting stability and profit potential, while FLOT.B adds diversification with solid performance.","{'SHV.O': 0.4, 'BIL.P': 0.35, 'FLOT.B': 0.25}","{'SHV.O': 0.4, 'BIL.P': 0.35, 'FLOT.B': 0.25}"
2023-11-30,"I selected ETFs with the highest momentum and breakout_quality_score to maximize short-term gains, focusing on ANGL.O for its top momentum and strong breakout quality, EMB.O for high momentum and positive tail skew, and JNK.P for its high momentum and breakout quality, with weights allocated based on their relative factor strength.","{'ANGL.O': 0.4, 'EMB.O': 0.35, 'JNK.P': 0.25}","{'ANGL.O': 0.4, 'EMB.O': 0.35, 'JNK.P': 0.25}"
2023-12-29,"I selected ETFs with the highest momentum and breakout_quality_score, as these factors indicate strong upward price trends and quality of breakouts, which are key for maximizing short-term PnL. Specifically, CWB.P, ICVT.B, and ANGL.O showed superior momentum and breakout scores, while EMB.O and JNK.P were included for their high momentum and moderate breakout quality, with weights allocated based on the strength of these signals.","{'CWB.P': 0.3, 'ICVT.B': 0.25, 'ANGL.O': 0.2, 'EMB.O': 0.15, 'JNK.P': 0.1}","{'CWB.P': 0.3, 'ICVT.B': 0.25, 'ANGL.O': 0.2, 'EMB.O': 0.15, 'JNK.P': 0.1}"
2024-01-31,"I selected ETFs with the highest momentum and breakout_quality_score, as these factors indicate strong upward price trends and quality breakouts, which are key for maximizing short-term PnL. ANGL.O has the highest momentum and a solid breakout score, while FLOT.B and SHV.O show excellent breakout quality and positive momentum, leading to higher weight allocations.","{'ANGL.O': 0.35, 'FLOT.B': 0.3, 'SHV.O': 0.2, 'JNK.P': 0.1, 'HYG.P': 0.05}","{'ANGL.O': 0.35, 'FLOT.B': 0.3, 'SHV.O': 0.2, 'JNK.P': 0.1, 'HYG.P': 0.05}"
2024-02-29,"The portfolio is constructed based on high momentum, strong breakout quality scores, and favorable smart momentum values, with FLOT.B and SHV.O showing exceptional breakout quality and momentum, JNK.P and ANGL.O exhibiting high momentum, and HYG.P providing additional momentum exposure, all selected to maximize short-term PnL.","{'FLOT.B': 0.25, 'SHV.O': 0.25, 'JNK.P': 0.2, 'ANGL.O': 0.2, 'HYG.P': 0.1}","{'FLOT.B': 0.25, 'SHV.O': 0.25, 'JNK.P': 0.2, 'ANGL.O': 0.2, 'HYG.P': 0.1}"
2024-03-28,"I selected ETFs with the highest momentum and breakout_quality_score to maximize short-term gains, focusing on ANGL.O for its top momentum and JNK.P for strong momentum and breakout quality, while diversifying with EMB.O and ICVT.B for their high breakout scores and momentum, and FLOT.B for its excellent breakout quality and positive momentum.","{'ANGL.O': 0.25, 'JNK.P': 0.25, 'EMB.O': 0.2, 'ICVT.B': 0.15, 'FLOT.B': 0.15}","{'ANGL.O': 0.25, 'JNK.P': 0.25, 'EMB.O': 0.2, 'ICVT.B': 0.15, 'FLOT.B': 0.15}"
2024-04-30,"I selected ETFs with the highest breakout_quality_score and smart_momentum_adx_r2 values, as these factors indicate strong momentum and stability for short-term gains. FLOT.B, SHV.O, and BIL.P show superior scores in these areas, with FLOT.B having the highest breakout_quality_score and BIL.P the highest smart_momentum_adx_r2, justifying their higher weights.","{'FLOT.B': 0.35, 'SHV.O': 0.3, 'BIL.P': 0.35}","{'FLOT.B': 0.35, 'BIL.P': 0.35, 'SHV.O': 0.3}"
2024-05-31,"I selected ETFs with the highest breakout_quality_score and smart_momentum_adx_r2 values, as these factors indicate strong momentum and stability for short-term gains. FLOT.B, SHV.O, and BIL.P show exceptional scores, while VTIP.O and IGSB.O provide additional diversification with solid performance metrics.","{'FLOT.B': 0.35, 'SHV.O': 0.3, 'BIL.P': 0.2, 'VTIP.O': 0.1, 'IGSB.O': 0.05}","{'FLOT.B': 0.35, 'SHV.O': 0.3, 'BIL.P': 0.2, 'VTIP.O': 0.1, 'IGSB.O': 0.05}"
2024-06-28,"I selected ETFs with the highest breakout_quality_score and eric_adx_weighted_momentum values, as these factors indicate strong momentum and trend quality, which are key for maximizing short-term PnL. SHV.O, BIL.P, FLOT.B, and IGSB.O showed the most robust signals, with SHV.O and BIL.P having the highest scores, thus assigned the largest weights.","{'SHV.O': 0.35, 'BIL.P': 0.3, 'FLOT.B': 0.2, 'IGSB.O': 0.15}","{'SHV.O': 0.35, 'BIL.P': 0.3, 'FLOT.B': 0.2, 'IGSB.O': 0.15}"
2024-07-31,"I selected ETFs with the highest combined scores in momentum, breakout_quality_score, eric_adx_weighted_momentum, and smart_momentum_adx_r2, as these factors indicate strong upward potential and trend stability for maximizing short-term PnL. Specifically, FLOT.B and SHV.O show exceptional breakout_quality_score and smart_momentum_adx_r2, while HYG.P and JNK.P have high momentum and eric_adx_weighted_momentum, with IGSB.O adding diversification and strong signals.","{'FLOT.B': 0.25, 'SHV.O': 0.25, 'HYG.P': 0.2, 'JNK.P': 0.2, 'IGSB.O': 0.1}","{'FLOT.B': 0.25, 'SHV.O': 0.25, 'HYG.P': 0.2, 'JNK.P': 0.2, 'IGSB.O': 0.1}"
2024-08-30,"I selected ETFs with the highest momentum and smart_momentum_adx_r2 values, such as HYG.P and JNK.P, which indicate strong recent performance and trend stability, while also considering breakout_quality_score for additional confirmation of quality signals.","{'HYG.P': 0.35, 'JNK.P': 0.35, 'EMB.O': 0.15, 'IGSB.O': 0.1, 'VTIP.O': 0.05}","{'HYG.P': 0.35, 'JNK.P': 0.35, 'EMB.O': 0.15, 'IGSB.O': 0.1, 'VTIP.O': 0.05}"
2024-09-30,"I selected ETFs with the highest momentum and breakout_quality_score to maximize short-term gains, focusing on HYG.P, JNK.P, EMB.O, CWB.P, and ICVT.B for their strong combined factor signals, with weights allocated based on their relative momentum and breakout scores.","{'HYG.P': 0.25, 'JNK.P': 0.25, 'EMB.O': 0.2, 'CWB.P': 0.15, 'ICVT.B': 0.15}","{'HYG.P': 0.25, 'JNK.P': 0.25, 'EMB.O': 0.2, 'CWB.P': 0.15, 'ICVT.B': 0.15}"
2024-10-31,"I selected CWB.P and ICVT.B due to their exceptionally high momentum (0.086 and 0.090) and smart_momentum_adx_r2 (0.087 and 0.084), indicating strong upward potential and stability, with positive breakout_quality_score and eric_adx_weighted_momentum supporting the trend. Higher weights were assigned to ICVT.B for its superior momentum and lower amount_std, suggesting less volatility and better risk-adjusted returns.","{'CWB.P': 0.4, 'ICVT.B': 0.6}","{'ICVT.B': 0.6, 'CWB.P': 0.4}"
2024-11-29,"I selected CWB.P and ICVT.B due to their exceptionally high momentum, breakout_quality_score, eric_adx_weighted_momentum, and smart_momentum_adx_r2 values, which indicate strong upward potential and trend stability. I allocated higher weight to CWB.P as it has slightly better momentum and breakout scores, while ICVT.B's strong performance supports a significant allocation.","{'CWB.P': 0.55, 'ICVT.B': 0.45}","{'CWB.P': 0.55, 'ICVT.B': 0.45}"
2024-12-31,"I selected ETFs with the highest momentum and smart_momentum_adx_r2 values, as these factors indicate strong recent performance and stable trends, which are key for maximizing short-term PnL. CWB.P and ICVT.B have the top momentum and smart_momentum scores, while FLOT.B and SHV.O show strong breakout_quality_score and positive eric_adx_weighted_momentum, supporting their inclusion with adjusted weights based on confidence.","{'CWB.P': 0.35, 'ICVT.B': 0.3, 'FLOT.B': 0.2, 'SHV.O': 0.15}","{'CWB.P': 0.35, 'ICVT.B': 0.3, 'FLOT.B': 0.2, 'SHV.O': 0.15}"
2025-01-31,"I selected ETFs with the highest momentum and strong breakout quality scores, focusing on CWB.P and ICVT.B for their exceptional momentum values (0.140 and 0.141) and positive smart_momentum_adx_r2, indicating robust trend strength and stability. I also included FLOT.B and SHV.O due to their high breakout_quality_score (17.351 and 41.363) and positive eric_adx_weighted_momentum, which suggest strong trend quality and momentum persistence. Weights are allocated proportionally to momentum and breakout scores to maximize potential returns.","{'CWB.P': 0.3, 'ICVT.B': 0.3, 'FLOT.B': 0.2, 'SHV.O': 0.2}","{'CWB.P': 0.3, 'ICVT.B': 0.3, 'FLOT.B': 0.2, 'SHV.O': 0.2}"
2025-02-28,"I selected ETFs with the highest momentum and breakout_quality_score, as these factors indicate strong upward price trends and quality of breakouts, which are key for maximizing short-term PnL. CWB.P and ICVT.B have the highest momentum values (0.109 and 0.112 respectively), while SHV.O and BIL.P show strong breakout_quality_score (33.519 and 28.158) and positive smart_momentum_adx_r2, supporting their potential for continued gains. I allocated higher weights to CWB.P and ICVT.B due to their superior momentum, and included SHV.O and BIL.P for diversification and stability based on their high breakout scores.","{'CWB.P': 0.35, 'ICVT.B': 0.35, 'SHV.O': 0.15, 'BIL.P': 0.15}","{'CWB.P': 0.35, 'ICVT.B': 0.35, 'SHV.O': 0.15, 'BIL.P': 0.15}"
2025-03-31,"I selected ETFs with the highest momentum and breakout_quality_score, as these factors indicate strong upward price trends and quality of breakouts, which are key for maximizing short-term PnL. Specifically, VTIP.O, SHV.O, and BIL.P show high values in breakout_quality_score and positive momentum, while FLOT.B and IGSB.O also exhibit strong signals in these areas, leading to their inclusion with weights proportional to their factor strengths.","{'VTIP.O': 0.25, 'SHV.O': 0.25, 'BIL.P': 0.2, 'FLOT.B': 0.15, 'IGSB.O': 0.15}","{'VTIP.O': 0.25, 'SHV.O': 0.25, 'BIL.P': 0.2, 'FLOT.B': 0.15, 'IGSB.O': 0.15}"
2025-04-30,"I selected ETFs with the highest momentum and breakout_quality_score to maximize short-term gains, focusing on CWB.P for its exceptional momentum and FLOT.B for strong breakout quality, while diversifying with SHY.O and BIL.P for stability and high breakout scores.","{'CWB.P': 0.35, 'FLOT.B': 0.25, 'SHY.O': 0.2, 'BIL.P': 0.2}","{'CWB.P': 0.35, 'FLOT.B': 0.25, 'SHY.O': 0.2, 'BIL.P': 0.2}"
2025-05-30,"The portfolio is constructed by selecting ETFs with the highest momentum and breakout_quality_score, such as CWB.P and ICVT.B, which show strong upward potential, while avoiding those with negative smart_momentum_adx_r2 to minimize risk. Weights are allocated based on the strength of these positive signals to maximize short-term PnL.","{'CWB.P': 0.35, 'ICVT.B': 0.35, 'FLOT.B': 0.15, 'SHV.O': 0.1, 'BIL.P': 0.05}","{'CWB.P': 0.35, 'ICVT.B': 0.35, 'FLOT.B': 0.15, 'SHV.O': 0.1, 'BIL.P': 0.05}"
2025-06-30,"I selected ETFs with the highest momentum and strong breakout_quality_score to maximize short-term gains, focusing on CWB.P and ICVT.B for their top momentum values and ANGL.O for its high eric_adx_weighted_momentum, while avoiding those with negative momentum like TLT.O.","{'CWB.P': 0.35, 'ICVT.B': 0.35, 'ANGL.O': 0.3}","{'CWB.P': 0.35, 'ICVT.B': 0.35, 'ANGL.O': 0.3}"
2025-07-31,我选择了 CWB.P、ICVT.B、FLOT.B、SHV.O 和 BIL.P，因为它们在所有因子中表现出色，特别是具有高动量、高突破质量分、高 ADX 加权动量和智慧动量，这些因子强烈预示短期上涨潜力。权重分配基于因子综合得分，CWB.P 和 ICVT.B 得分最高，因此权重最大。,"{'CWB.P': 0.25, 'ICVT.B': 0.25, 'FLOT.B': 0.2, 'SHV.O': 0.15, 'BIL.P': 0.15}","{'CWB.P': 0.25, 'ICVT.B': 0.25, 'FLOT.B': 0.2, 'SHV.O': 0.15, 'BIL.P': 0.15}"
2025-08-29,"I selected ETFs with the highest momentum and breakout_quality_score to maximize short-term upside potential, focusing on IGOV.O and ICVT.B for their strong momentum and EMB.O for its high breakout quality, while avoiding negative smart_momentum_adx_r2 values to ensure stability.","{'IGOV.O': 0.35, 'ICVT.B': 0.35, 'EMB.O': 0.3}","{'IGOV.O': 0.35, 'ICVT.B': 0.35, 'EMB.O': 0.3}"
